Metadaten,INVNR,OBJEKT,BEZEICHNUNG,INHALT_DARGESTELLT,MATERIAL,TECHNIK,MASZE,Thema,AUFSCHRIFT_MERKMALE,SP,Th,B,S,Rac,Dmpf,L,Mich,Raf,HK,DC,Rf,T,publiziert_in_Publikation,vorgesehen_zur_Publikation,REFERENT_Eigenschaft_1,REFERENT_Typ_1,QUELLE_Beziehung_REFERENT_1,REFERENT_Zeit_1,REFERENT_Ort_1,REFERENT_Bezeichnung_1,REFERENT_Eigenschaft_2,REFERENT_Typ_2,QUELLE_Beziehung_REFERENT_2,REFERENT_Zeit_2,REFERENT_Ort_2,REFERENT_Bezeichnung_2,REFERENT_Eigenschaft_3,REFERENT_Typ_3,QUELLE_Beziehung_REFERENT_3,REFERENT_Zeit_3,REFERENT_Ort_3,REFERENT_Bezeichnung_3,REFERENT_Eigenschaft_4,REFERENT_Typ_4,QUELLE_Beziehung_REFERENT_4,REFERENT_Zeit_4,REFRENT_Ort_4,REFERENT_Bezeichnung_4,REFERENT_Eigenschaft_5,REFERENT_Typ_5,QUELLE_Beziehung_REFERENT_5,REFERENT_Zeit_5,REFERENT_Ort_5,REFERENT_Bezeichnung_5,REFERENT_Eigenschaft_6,REFERENT_Typ_6,QUELLE_Beziehung_REFERENT_6,REFERENT_Zeit_6,REFERENT_Ort_6,REFERENT_Bezeichnung_6,REFERENT_Eigenschaft_7,REFERENT_Typ_7,QUELLE_Beziehung_REFERENT_7,REFERENT_Zeit_7,REFERENT_Ort_7,REFERENT_Bezeichnung_7,REFERENT_Eigenschaft_8,REFERENT_Typ_8,QUELLE_Beziehung_REFERENT_8,REFERENT_Zeit_8,REFERENT_Ort_8,REFERENT_Bezeichnung_8,REFERENT_Eigenschaft_9,REFERENT_Typ_9,QUELLE_Beziehung_REFERENT_9,REFERENT_Zeit_9,REFERENT_Ort_9,REFERENT_Bezeichnung_9,REFERENT_Eigenschaft_10,REFERENT_Typ_10,QUELLE_Beziehung_REFERENT_10,REFERENT_Zeit_10,REFERENT_Ort_10,REFERENT_Bezeichnung_10,REFERENT_Eigenschaft_11,REFERENT_Typ_11,QUELLE_Beziehung_REFERENT_11,REFERENT_Zeit_11,REFERENT_Ort_11,REFERENT_Bezeichnung_11,,,,,,,AUDIO Text,,,,,
419,II.3.8.d,Blatt,"Blatt - o. Aufschrift, Codici del Filarete III",Abbildung - Beschriftung,1 Blatt Papier,Schreibfeder,162 x 108 mm,,,,,,,,,,,,,,x,,,,materiell,Person,verfasst,NULL,NULL,Heinrich von Geymüller,materiell,Archivquelle,behandelnd,,Biblioteca nazionale centrale di Firenze. Archivio storico,Averlino - Antonio di Piero (Filarete): Trattato di architettura di Antonio Filareto - Firenze 1488/1489.,materiell,Organisation,betreffend,,Firenze,Biblioteca nazionale centrale di Firenze. Archivio storico,materiell,Artefakt,wiedergebend,,Averlino - Antonio di Piero (Filarete): Trattato di architettura di Antonio Filareto - Firenze 1488/1489.,Buch XV - Fol. 120v - Zeichnung - Ansicht - Brücke - Palast - Arkaden,materiell,Publikation,behandelnd,,NULL,"Filarete (1400-1469): Filarete's Treatise on architecture / being the Treatise by Antonio di Piero Averlino - known as Filarete. Transl. with an introd. and notes by John R. Spencer (Yale publications in the history of art , 18) - Yale Univ. Press: New Haven - Conn. [u.a.] - Bd. 2 The facsimile 1965.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
420,II.3.8.d,Blatt,"Blatt - o. Aufschrift, Codici del Filarete III",Abbildung - Beschriftung,1 Blatt Papier,Schreibfeder,217 x 161 mm,,,,,,,,,,,,,,x,,,,materiell,Person,verfasst,NULL,NULL,Heinrich von Geymüller,materiell,Archivquelle,behandelnd,,Biblioteca nazionale centrale di Firenze. Archivio storico,Averlino - Antonio di Piero (Filarete): Trattato di architettura di Antonio Filareto - Firenze 1488/1489.,materiell,Organisation,betreffend,,Firenze,Biblioteca nazionale centrale di Firenze. Archivio storico,materiell,Artefakt,wiedergebend,,Averlino - Antonio di Piero (Filarete): Trattato di architettura di Antonio Filareto - Firenze 1488/1489.,Buch XIII - Fol. 97r - Zeichnung - Ansicht - Panorama - Kastell - Brücke - Arkaden - Turm,materiell,Publikation,behandelnd,,NULL,"Filarete (1400-1469): Filarete's Treatise on architecture / being the Treatise by Antonio di Piero Averlino - known as Filarete. Transl. with an introd. and notes by John R. Spencer (Yale publications in the history of art , 18) - Yale Univ. Press: New Haven - Conn. [u.a.] - Bd. 2 The facsimile 1965.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
421,II.3.8.d,Blatt,"Blatt - o. Aufschrift, Codici del Filarete III - Thürme u. [?] - Brücken",Abbildung - Beschriftung,1 Blatt Papier,Schreibfeder,162 x 211 mm,,,,,,,,,,,,,,x,,,,materiell,Person,verfasst,NULL,NULL,Heinrich von Geymüller,materiell,Archivquelle,behandelnd,,Biblioteca nazionale centrale di Firenze. Archivio storico,Averlino - Antonio di Piero (Filarete): Trattato di architettura di Antonio Filareto - Firenze 1488/1489.,materiell,Organisation,betreffend,,Firenze,Biblioteca nazionale centrale di Firenze. Archivio storico,materiell,Artefakt,wiedergebend,,Averlino - Antonio di Piero (Filarete): Trattato di architettura di Antonio Filareto - Firenze 1488/1489.,Buch XIII - Fol. 99r - Zeichnung - Ansicht - Turm,materiell,Publikation,behandelnd,,NULL,"Filarete (1400-1469): Filarete's Treatise on architecture / being the Treatise by Antonio di Piero Averlino - known as Filarete. Transl. with an introd. and notes by John R. Spencer (Yale publications in the history of art , 18) - Yale Univ. Press: New Haven - Conn. [u.a.] - Bd. 2 The facsimile 1965.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
422,II.3.8.d,Blatt,"Blatt - o. Aufschrift, Codici del Filarete III - Thürme u. [?] - Brücken",Abbildung - Beschriftung,1 Blatt Papier,Schreibfeder,162 x 211 mm,,,,,,,,,,,,,,x,,,,materiell,Person,verfasst,NULL,NULL,Heinrich von Geymüller,materiell,Archivquelle,behandelnd,,Biblioteca nazionale centrale di Firenze. Archivio storico,Averlino - Antonio di Piero (Filarete): Trattato di architettura di Antonio Filareto - Firenze 1488/1489.,materiell,Organisation,betreffend,,Firenze,Biblioteca nazionale centrale di Firenze. Archivio storico,materiell,Artefakt,wiedergebend,,Averlino - Antonio di Piero (Filarete): Trattato di architettura di Antonio Filareto - Firenze 1488/1489.,Buch XIII - Fol. 110 - Zeichnung - Ansicht - Turm,materiell,Publikation,behandelnd,,NULL,"Filarete (1400-1469): Filarete's Treatise on architecture / being the Treatise by Antonio di Piero Averlino - known as Filarete. Transl. with an introd. and notes by John R. Spencer (Yale publications in the history of art , 18) - Yale Univ. Press: New Haven - Conn. [u.a.] - Bd. 2 The facsimile 1965.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
423,II.3.8.d,Blatt,"Blatt - o. Aufschrift, Codici del Filarete III - Thürme u. [?] - Brücken",Abbildung - Beschriftung,1 Blatt Papier,Schreibfeder,162 x 211 mm,,,,,,,,,,,,,,x,,,,materiell,Person,verfasst,NULL,NULL,Heinrich von Geymüller,materiell,Archivquelle,behandelnd,,Biblioteca nazionale centrale di Firenze. Archivio storico,Averlino - Antonio di Piero (Filarete): Trattato di architettura di Antonio Filareto - Firenze 1488/1489.,materiell,Organisation,betreffend,,Firenze,Biblioteca nazionale centrale di Firenze. Archivio storico,materiell,Artefakt,wiedergebend,,Averlino - Antonio di Piero (Filarete): Trattato di architettura di Antonio Filareto - Firenze 1488/1489.,Buch VI - Fol. 41v - Zeichnung - Ansicht - Turm,materiell,Publikation,behandelnd,,NULL,"Filarete (1400-1469): Filarete's Treatise on architecture / being the Treatise by Antonio di Piero Averlino - known as Filarete. Transl. with an introd. and notes by John R. Spencer (Yale publications in the history of art , 18) - Yale Univ. Press: New Haven - Conn. [u.a.] - Bd. 2 The facsimile 1965.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
424,II.3.8.d,Blatt,"Blatt - o. Aufschrift, Codici del Filarete III - Thürme u. [?] - Brücken",Abbildung - Beschriftung,1 Blatt Papier,Schreibfeder,110 x 170 mm,,,,,,,,,,,,,,x,,,,materiell,Person,verfasst,NULL,NULL,Heinrich von Geymüller,materiell,Archivquelle,behandelnd,,Biblioteca nazionale centrale di Firenze. Archivio storico,Averlino - Antonio di Piero (Filarete): Trattato di architettura di Antonio Filareto - Firenze 1488/1489.,materiell,Organisation,betreffend,,Firenze,Biblioteca nazionale centrale di Firenze. Archivio storico,materiell,Artefakt,wiedergebend,,Averlino - Antonio di Piero (Filarete): Trattato di architettura di Antonio Filareto - Firenze 1488/1489.,Buch XVIII - Fol. 144r - Zeichnung - Ansicht - Turm,materiell,Publikation,behandelnd,,NULL,"Filarete (1400-1469): Filarete's Treatise on architecture / being the Treatise by Antonio di Piero Averlino - known as Filarete. Transl. with an introd. and notes by John R. Spencer (Yale publications in the history of art , 18) - Yale Univ. Press: New Haven - Conn. [u.a.] - Bd. 2 The facsimile 1965.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
425,II.3.8.d,Blatt,"Blatt - o. Aufschrift, Codici del Filarete III - Thürme u. [?] - Brücken",Abbildung - Beschriftung,1 Blatt Papier,Schreibfeder,168 x 111 mm,,,,,,,,,,,,,,x,,,,materiell,Person,verfasst,NULL,NULL,Heinrich von Geymüller,materiell,Archivquelle,behandelnd,,Biblioteca nazionale centrale di Firenze. Archivio storico,Averlino - Antonio di Piero (Filarete): Trattato di architettura di Antonio Filareto - Firenze 1488/1489.,materiell,Organisation,betreffend,,Firenze,Biblioteca nazionale centrale di Firenze. Archivio storico,materiell,Artefakt,wiedergebend,,Averlino - Antonio di Piero (Filarete): Trattato di architettura di Antonio Filareto - Firenze 1488/1489.,"Buch XVIII - Fol. 143v - Zeichnung - Grundriss - Haus (""la casa della virtu"")",materiell,Publikation,behandelnd,,NULL,"Filarete (1400-1469): Filarete's Treatise on architecture / being the Treatise by Antonio di Piero Averlino - known as Filarete. Transl. with an introd. and notes by John R. Spencer (Yale publications in the history of art , 18) - Yale Univ. Press: New Haven - Conn. [u.a.] - Bd. 2 The facsimile 1965.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
426,II.3.8.d,Blatt,"Blatt - o. Aufschrift, Codici del Filarete III - Thürme u. [?] - Brücken",Abbildung - Beschriftung,1 Blatt Papier,Schreibfeder,108 x 161 mm,,,,,,,,,,,,,,x,,,,materiell,Person,verfasst,NULL,NULL,Heinrich von Geymüller,materiell,Archivquelle,behandelnd,,Biblioteca nazionale centrale di Firenze. Archivio storico,Averlino - Antonio di Piero (Filarete): Trattato di architettura di Antonio Filareto - Firenze 1488/1489.,materiell,Organisation,betreffend,,Firenze,Biblioteca nazionale centrale di Firenze. Archivio storico,materiell,Artefakt,wiedergebend,,Averlino - Antonio di Piero (Filarete): Trattato di architettura di Antonio Filareto - Firenze 1488/1489.,Buch XVIII - Fol. 130v - Zeichnung - Ansicht - Turm,materiell,Publikation,behandelnd,,NULL,"Filarete (1400-1469): Filarete's Treatise on architecture / being the Treatise by Antonio di Piero Averlino - known as Filarete. Transl. with an introd. and notes by John R. Spencer (Yale publications in the history of art , 18) - Yale Univ. Press: New Haven - Conn. [u.a.] - Bd. 2 The facsimile 1965.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
427,II.3.8.d,Blatt,"Blatt - o. Aufschrift, Codici del Filarete III - Thürme u. [?] - Brücken",Abbildung - Beschriftung,1 Blatt Papier,Schreibfeder,109 x 161 mm,,,,,,,,,,,,,,x,,,,materiell,Person,verfasst,NULL,NULL,Heinrich von Geymüller,materiell,Archivquelle,behandelnd,,Biblioteca nazionale centrale di Firenze. Archivio storico,Averlino - Antonio di Piero (Filarete): Trattato di architettura di Antonio Filareto - Firenze 1488/1489.,materiell,Organisation,betreffend,,Firenze,Biblioteca nazionale centrale di Firenze. Archivio storico,materiell,Artefakt,wiedergebend,,Averlino - Antonio di Piero (Filarete): Trattato di architettura di Antonio Filareto - Firenze 1488/1489.,Buch XVIII - Fol. 145r - Zeichnung - Ansicht - Turm,materiell,Publikation,behandelnd,,NULL,"Filarete (1400-1469): Filarete's Treatise on architecture / being the Treatise by Antonio di Piero Averlino - known as Filarete. Transl. with an introd. and notes by John R. Spencer (Yale publications in the history of art , 18) - Yale Univ. Press: New Haven - Conn. [u.a.] - Bd. 2 The facsimile 1965.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
428,II.3.8.d,Blatt,"Blatt - o. Aufschrift, Codici del Filarete III - Thürme u. [?] - Brücken",Abbildung - Beschriftung,1 Blatt Papier,Schreibfeder,110 x 161 mm,,,,,,,,,,,,,,x,,,,materiell,Person,verfasst,NULL,NULL,Heinrich von Geymüller,materiell,Archivquelle,behandelnd,,Biblioteca nazionale centrale di Firenze. Archivio storico,Averlino - Antonio di Piero (Filarete): Trattato di architettura di Antonio Filareto - Firenze 1488/1489.,materiell,Organisation,betreffend,,Firenze,Biblioteca nazionale centrale di Firenze. Archivio storico,materiell,Artefakt,wiedergebend,,Averlino - Antonio di Piero (Filarete): Trattato di architettura di Antonio Filareto - Firenze 1488/1489.,Buch XXI - Fol. 172 - Zeichnung - Ansicht - Turm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
429,II.3.8.d,Blatt,"Blatt - o. Aufschrift, Codici del Filarete III - Thürme u. [?] - Brücken",Abbildung - Beschriftung,1 Blatt Papier,Schreibfeder,111 x 161 mm,,,,,,,,,,,,,,x,,,,materiell,Person,verfasst,NULL,NULL,Heinrich von Geymüller,materiell,Archivquelle,behandelnd,,Biblioteca nazionale centrale di Firenze. Archivio storico,Averlino - Antonio di Piero (Filarete): Trattato di architettura di Antonio Filareto - Firenze 1488/1489.,materiell,Organisation,betreffend,,Firenze,Biblioteca nazionale centrale di Firenze. Archivio storico,materiell,Artefakt,wiedergebend,,Averlino - Antonio di Piero (Filarete): Trattato di architettura di Antonio Filareto - Firenze 1488/1489.,Buch XV - Fol. 122r - A - Zeichnung - Ansicht - Turm - Detail,materiell,Publikation,behandelnd,,NULL,"Filarete (1400-1469): Filarete's Treatise on architecture / being the Treatise by Antonio di Piero Averlino - known as Filarete. Transl. with an introd. and notes by John R. Spencer (Yale publications in the history of art , 18) - Yale Univ. Press: New Haven - Conn. [u.a.] - Bd. 2 The facsimile 1965.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
430,II.3.8.d,Blatt,"Blatt - o. Aufschrift, Codici del Filarete III - Thürme u. [?] - Brücken",Abbildung - Beschriftung,1 Blatt Papier,Schreibfeder,112 x 161 mm,,,,,,,,,,,,,,x,,,,materiell,Person,verfasst,NULL,NULL,Heinrich von Geymüller,materiell,Archivquelle,behandelnd,,Biblioteca nazionale centrale di Firenze. Archivio storico,Averlino - Antonio di Piero (Filarete): Trattato di architettura di Antonio Filareto - Firenze 1488/1489.,materiell,Organisation,betreffend,,Firenze,Biblioteca nazionale centrale di Firenze. Archivio storico,materiell,Artefakte,wiedergebend,,Averlino - Antonio di Piero (Filarete): Trattato di architettura di Antonio Filareto - Firenze 1488/1489.,Buch VI - Fol. 41v - Zeichnung - Ansicht - Turm / Buch VI - Fol. 42r - Zeichnung - Ansicht - Turm,materiell,Publikation,behandelnd,,NULL,"Filarete (1400-1469): Filarete's Treatise on architecture / being the Treatise by Antonio di Piero Averlino - known as Filarete. Transl. with an introd. and notes by John R. Spencer (Yale publications in the history of art , 18) - Yale Univ. Press: New Haven - Conn. [u.a.] - Bd. 2 The facsimile 1965.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
431,II.3.8.d,Blatt,"Blatt - o. Aufschrift, Codici del Filarete III - Thürme u. [?] - Brücken",Abbildung - Beschriftung,1 Blatt Papier,Schreibfeder,113 x 161 mm,,,,,,,,,,,,,,x,,,,materiell,Person,verfasst,NULL,NULL,Heinrich von Geymüller,materiell,Archivquelle,behandelnd,,Biblioteca nazionale centrale di Firenze. Archivio storico,Averlino - Antonio di Piero (Filarete): Trattato di architettura di Antonio Filareto - Firenze 1488/1489.,materiell,Organisation,betreffend,,Firenze,Biblioteca nazionale centrale di Firenze. Archivio storico,materiell,Artefakt,wiedergebend,,Averlino - Antonio di Piero (Filarete): Trattato di architettura di Antonio Filareto - Firenze 1488/1489.,Buch XVI - Fol. 102v - A - Zeichnung - Ansicht - Turm,materiell,Publikation,behandelnd,,NULL,"Filarete (1400-1469): Filarete's Treatise on architecture / being the Treatise by Antonio di Piero Averlino - known as Filarete. Transl. with an introd. and notes by John R. Spencer (Yale publications in the history of art , 18) - Yale Univ. Press: New Haven - Conn. [u.a.] - Bd. 2 The facsimile 1965.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
432,II.3.8.d,Benützerschein,"Benützerschein - o. Aufschrift, Codici del Filarete III",Druck - Text,1 Blatt Papier,Druck - Schreibfeder,185 x 115 mm,,,,,,,,,,,,,,x,,,,materiell,Organisation,betreffend,15.04.1898,Florenz,Biblioteca nazionale centrale di Firenze. Archivio storico,materiell,Archivquelle,betreffend,,Biblioteca nazionale centrale di Firenze. Archivio storico,Averlino - Antonio di Piero (Filarete): Trattato di architettura di Antonio Filareto - Firenze 1488/1489.,materiell,Person,betreffend,,NULL,Heinrich von Geymüller,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
433,II.3.8.d,Blatt,"Blatt - o. Aufschrift, Codici del Filarete III",Text,1 Blatt Papier,Schreibfeder,163 x 108 mm,,,,,,,,,,,,,,x,,,,materiell,Person,verfasst,NULL,NULL,Heinrich von Geymüller,materiell,Archivquelle,betreffend,,Biblioteca nazionale centrale di Firenze. Archivio storico,Averlino - Antonio di Piero (Filarete): Trattato di architettura di Antonio Filareto - Firenze 1488/1489.,materiell,Organisation,betreffend,,Firenze,Biblioteca nazionale centrale di Firenze. Archivio storico,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
434,II.3.8.d,Blatt,"Blatt - o. Aufschrift, Codici del Filarete III",Text - Abbildungen,1 Blatt Papier,Schreibfeder - Bleistift (grau),109 x 160 mm,,Vorderseite / Rückseite,,,,,,,,,,,,x,,,,materiell,Person,verfasst,12.04.1898,NULL,Heinrich von Geymüller,materiell,Archivquelle,betreffend,,Biblioteca nazionale centrale di Firenze. Archivio storico,Averlino - Antonio di Piero (Filarete): Trattato di architettura di Antonio Filareto - Firenze 1488/1489.,materiell,Organisation,betreffend,,Firenze,Biblioteca nazionale centrale di Firenze. Archivio storico,materiell,Artefakte,wiedergebend,,Averlino - Antonio di Piero (Filarete): Trattato di architettura di Antonio Filareto - Firenze 1488/1489.,Buch I - Fol. 1v - Buch VI - Fol. 41v - Fol 42r - Buch VII - Fol. 47r - Fol. 48v - Fol. 51v - Buch VIII - Fol. 57v - Fol. 58v - Buch IX - Fol. 66r - Fol. Buch VIII - 58r - Fol. 59v - Buch XI - Fol. 78v - Fol. 82v - Fol. 83v - Fol. 84v - Buch XII - Fol. 87v - Buch XIII - Fol. 94v - Fol. 95v - Fol. 97r / Fol. 92v - Buch XIV - Fol. 108r - Fol. 109r - Buch XVI - Fol. 129r - Fol. 123r - Buch XXV - Fol. 192r - Buch XVI - Fol. 123r - Fol. 123v - Fol. 130v - BUch XVII - Fol. 137r - Fol. 140r - Fol. 140v - Buch XVIII - Fol. 144r - Fol. 144v - Fol. 144v - Fol. 1145r - Vol. 149r.,materiell,Publikation,behandelnd,,NULL,"Filarete (1400-1469): Filarete's Treatise on architecture / being the Treatise by Antonio di Piero Averlino - known as Filarete. Transl. with an introd. and notes by John R. Spencer (Yale publications in the history of art , 18) - Yale Univ. Press: New Haven - Conn. [u.a.] - Bd. 2 The facsimile 1965.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
435,II.3.8.d,Blatt,"Blatt - o. Aufschrift, Codici del Filarete III",Text - Abbildungen,1 Blatt Papier,Bleistift (grau),109 x 160 mm,,,,,,,,,,,,,,x,,,,materiell,Person,verfasst,NULL,NULL,Heinrich von Geymüller,materiell,Archivquelle,betreffend,,Biblioteca nazionale centrale di Firenze. Archivio storico,Averlino - Antonio di Piero (Filarete): Trattato di architettura di Antonio Filareto - Firenze 1488/1489.,materiell,Organisation,betreffend,,Firenze,Biblioteca nazionale centrale di Firenze. Archivio storico,materiell,Artefakte,wiedergebend,,Averlino - Antonio di Piero (Filarete): Trattato di architettura di Antonio Filareto - Firenze 1488/1489.,Buch XVIII - Fol. 150v - Buch XIX - Fol. 151r - Buch XX - Fol. 161r - Fol. 162v - Buch XIII - Fol. 109v - Buch XXI - Fol. 172r - Buch XXIII - Fol. 179r - Buch XXV - Fol. 192r - Buch XIX - Fol. 153r - Buch XIX - Fol. 158r.,materiell,Publikation,behandelnd,,NULL,"Filarete (1400-1469): Filarete's Treatise on architecture / being the Treatise by Antonio di Piero Averlino - known as Filarete. Transl. with an introd. and notes by John R. Spencer (Yale publications in the history of art , 18) - Yale Univ. Press: New Haven - Conn. [u.a.] - Bd. 2 The facsimile 1965.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
436,II.3.8.d,Blatt,"Blatt - o. Aufschrift, Codici del Filarete III",Abbildung,1 Blatt Papier,Bleistift (grau),108 x 162 mm,,,,,,,,,,,,,,x,,,,materiell,Person,verfasst,NULL,NULL,Heinrich von Geymüller,materiell,Archivquelle,betreffend,,Biblioteca nazionale centrale di Firenze. Archivio storico,Averlino - Antonio di Piero (Filarete): Trattato di architettura di Antonio Filareto - Firenze 1488/1489.,materiell,Organisation,betreffend,,Firenze,Biblioteca nazionale centrale di Firenze. Archivio storico,materiell,Artefakt,wiedergebend,,Averlino - Antonio di Piero (Filarete): Trattato di architettura di Antonio Filareto - Firenze 1488/1489.,Buch XIX - Fol. 158r - Zeichnung - Panorama - Kastell,materiell,Publikation,behandelnd,,NULL,"Filarete (1400-1469): Filarete's Treatise on architecture / being the Treatise by Antonio di Piero Averlino - known as Filarete. Transl. with an introd. and notes by John R. Spencer (Yale publications in the history of art , 18) - Yale Univ. Press: New Haven - Conn. [u.a.] - Bd. 2 The facsimile 1965.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
437,II.3.8.d,Blatt,"Blatt - o. Aufschrift, Codici del Filarete III",Text,1 Blatt Papier,Schreibfeder,162 x 108 mm,,,,,,,,,,,,,,x,,,,materiell,Person,verfasst,NULL,NULL,Heinrich von Geymüller,materiell,Archivquelle,betreffend,,Biblioteca nazionale centrale di Firenze. Archivio storico,Averlino - Antonio di Piero (Filarete): Trattato di architettura di Antonio Filareto - Firenze 1488/1489.,materiell,Organisation,betreffend,,Firenze,Biblioteca nazionale centrale di Firenze. Archivio storico,materiell,Artefakte,wiedergebend,,Averlino - Antonio di Piero (Filarete): Trattato di architettura di Antonio Filareto - Firenze 1488/1489.,Buch IV - Fol. 25r / Fol. 25v,materiell,Publikation,behandelnd,,NULL,"Filarete (1400-1469): Filarete's Treatise on architecture / being the Treatise by Antonio di Piero Averlino - known as Filarete. Transl. with an introd. and notes by John R. Spencer (Yale publications in the history of art , 18) - Yale Univ. Press: New Haven - Conn. [u.a.] - Bd. 2 The facsimile 1965.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
438,II.3.8.d,Blatt,"Blatt - o. Aufschrift, Codici del Filarete III",Abbildung - Beschriftung,1 Blatt Papier,Bleistift (grau),109 x 159 mm,,,,,,,,,,,,,,x,,,,materiell,Person,verfasst,NULL,NULL,Heinrich von Geymüller,materiell,Archivquelle,betreffend,,Biblioteca nazionale centrale di Firenze. Archivio storico,Averlino - Antonio di Piero (Filarete): Trattato di architettura di Antonio Filareto - Firenze 1488/1489.,materiell,Organisation,betreffend,,Firenze,Biblioteca nazionale centrale di Firenze. Archivio storico,materiell,Artefakt,wiedergebend,,Averlino - Antonio di Piero (Filarete): Trattato di architettura di Antonio Filareto - Firenze 1488/1489.,Buch XVIII - Fol. 143r - Zeichnung - Figurale - Detail,materiell,Publikation,behandelnd,,NULL,"Filarete (1400-1469): Filarete's Treatise on architecture / being the Treatise by Antonio di Piero Averlino - known as Filarete. Transl. with an introd. and notes by John R. Spencer (Yale publications in the history of art , 18) - Yale Univ. Press: New Haven - Conn. [u.a.] - Bd. 2 The facsimile 1965.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
439,II.3.8.d,Blatt,"Blatt - o. Aufschrift, Codici del Filarete III",Abbildung - Beschriftung,1 Blatt Papier,Schreibfeder - Bleistift (grau),163 x 111 mm,,,,,,,,,,,,,,x,,,,materiell,Person,verfasst,NULL,NULL,Heinrich von Geymüller,materiell,Archivquelle,betreffend,,Biblioteca nazionale centrale di Firenze. Archivio storico,Averlino - Antonio di Piero (Filarete): Trattato di architettura di Antonio Filareto - Firenze 1488/1489.,materiell,Organisation,betreffend,,Firenze,Biblioteca nazionale centrale di Firenze. Archivio storico,materiell,Person,wiedergebend,,Averlino - Antonio di Piero (Filarete): Trattato di architettura di Antonio Filareto - Firenze 1488/1489.,Filarete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
440,II.3.8.d,Blatt,"Blatt - o. Aufschrift, Codici del Filarete III",Abbildung - Beschriftung,1 Blatt Papier,Schreibfeder,169 x 111 mm,,,,,,,,,,,,,,x,,,,materiell,Person,verfasst,NULL,NULL,Heinrich von Geymüller,materiell,Archivquelle,betreffend,,Biblioteca nazionale centrale di Firenze. Archivio storico,Averlino - Antonio di Piero (Filarete): Trattato di architettura di Antonio Filareto - Firenze 1488/1489.,materiell,Organisation,betreffend,,Firenze,Biblioteca nazionale centrale di Firenze. Archivio storico,materiell,Artefakt,wiedergebend,,Averlino - Antonio di Piero (Filarete): Trattato di architettura di Antonio Filareto - Firenze 1488/1489.,Buch XX - Fol. 164v - Zeichnung - Grundriss,materiell,Publikation,behandelnd,,NULL,"Filarete (1400-1469): Filarete's Treatise on architecture / being the Treatise by Antonio di Piero Averlino - known as Filarete. Transl. with an introd. and notes by John R. Spencer (Yale publications in the history of art , 18) - Yale Univ. Press: New Haven - Conn. [u.a.] - Bd. 2 The facsimile 1965.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
