INVENTARNUMMER;TYP;BESCHRIFTUNG;THEMATISCHE ZUORDNUNG;PUBLIKATION;ORT;JAHR;RELEVANZ;INHALT;FOTO;KOMMENTAR;Ges.anzahl;;;;;
IV.6.6;Notizbuch;1875;T S;;;1875;XXX;"1 Notizbuch (1875; 88 Seiten Notizen und Skizzen; Bologna; Florenz; u.a.)";;;1;;> 8277 (8x Notizbuch) - 8284;;;
IV.6.7;Notizbuch;o . Aufschrift;T S;;;1883;XXX;"9 Notizenbücher (?; 31 Seiten Notizen; nach Orten: Rom; Toscana; Lombardia; Paris; Venezia; England; Sammlungen und Museen; Listen von Werken), 2 Zeitungsausschnitte";;;11;;;;;
IV.6.8;Sammlung lose Blätter;Leo X.;SP;;;;;"108 Abschriften: (in 7 Umschläge; Leo X.)";;;108;;;;;
IV.6.9;Manuskript;Michaelangelo;Mich;;;;;"1 Manuskript (392 Blätter; handschriftlich ""Michaelangelo"")";;;392;;;;;
IV.6.10;Sammlung lose Blätter;Geymüller Notizen. Domfassade Mailand [beschriftet von Egger];S;;;1889;;"28 Notizen und Skizzen, 2 Zeichnungen, 1 Abbildung (Mailand), 1 Zeitungsausschnitt, 1 Postkarte (Gustavo Frizzoni 1889): (in 2 Umschläge; gleich beschriftet)";;"Zeitungsartkiel 1890 ""Le Passé)";33;;> 8285 (4x Brief u. Skizzen) - 8288;;;
IV.6.11;Sammlung lose Blätter;"o . Aufschrift (Alberti; Bramante)";B T;;;1905;;"188 Notizen und Skizzen (u.a. S. Francesco Rimini [Bemerkung zu Loir Füller]; S. Sebastiano; Mantua), 3 Fotos (2 San Sebastiano Mantua 1878; San Andrea 1875); 2 Ansichtskarten (1 Max II [Allioth] ?), 1 Blatt (Toscanawerk; B. Rossellino): (in 18 Umschläge; Alberti 1905; Bramante)";;;194;;> 8289 (4x Notizen und Skizzen) (3x Fotos) (3x Foto und Karte) (1x Skizze) 8300;;;
IV.6.12;Sammlung lose Blätter;Müntz (Bibliotheque National) (Päpste);SP (?);;;1904;;"16 Notizen, 10 Briefe (2 Léon Dorez 1904; 1 Henri Omont <National Bibllitheque Paris> 1904; 4 Delisy (?) <National Bibllitheque Paris> 1904; 2 Archille Müntz 1904), 1 Visitenkarte (Archille Müntz <Prfesseur-Directeur des Laboratoires à l'Institut National Agronomique>) 1 Benützungsschein, 6 Postaufgabescheine: (in 1 Umschlag)";;;33;;> 8300 (Briefe) - 8309;;;
IV.6.13;Sammlung lose Blätter;o. Aufschrift (Julius II.);SP;;;1879;;242 Abschriften (Julius II.) (Julius III.) (u.a. Müntz 1879), 1 Brief (Carlo Casati > Müntz 1883), 28 Zeitungsausschnitte und Buchausschnitte: (in 19 Umschläge);;;270;;> 8310 (2x Brief u. Umschlag) - 8311;;;
IV.6.14;Sammlung lose Blätter;Päpste (Pius II., Sixtus IV., Nikolaus V.);SP;;;1884, 1876;;"155 Abschriften (Pius II., Sixtus IV., Nikolaus V.), 7 Zeitungsausschnitte (1 Lit. Rundschau 1884; 1 Corriere di Roma 1876; 1 Literaturbericht; 1 Chronique; 1 Revue de l'art; 1 Repertorium für Kunstgeschichte; 1 ...? 1884): (in 12 Umschläge)";;;162;;;;;
V.1.1;Sammlung lose Blätter;o . Aufschrift;T Raf S;;;1906;;"124 Notizen und Skizzen (Studien von histroischen Möbeln nach italienischen Gemälden und Monumenten [für das Esszimmer von Ulrico Hoepli] 1883; Manuskript zu Raffaello [Gazette de Lausanne] und zu Brunelleschi, Domkuppel [Toscanawerk]; zu Meubles), 1 Zeitungsausschnitt (Chronique des Arts 1906; Alberti), 1 Korrekturfahne (Toscanawerk; Brunelleschi): (in 4 Umschläge)";;;126;;> 8312 (6x Skizzen u. Umschlag) - 8317;;;
V.1.2;Sammlung lose Blätter;o . Aufschrift;T S;;Florenz;1867, 1893, 1898, 1902;;"178 Notizen und Skizzen (Ingenieur Allemand; Toscanawerk [Palazzo Strozzino, B. da Majano]), 5 Fotos (Florenz), 1 Karte (Maja (?) Florenz. Piazza di Mercato [später zerstört] 1906), 5 Zeitungsausschnitte (1 Arte e Storia 1893 3x 1898 1x 1902), 17 Prospekte (Exposition Universell 1867; 6 österreichische Firmen; 11 englische Firmen): (in mehreren Umschlägen)";;;206;;> 8318 (...) (3x Fotos) (5x Firmenprospekte) (...) - 8340;;;
V.1.3;Sammlung lose Blätter;o . Aufschrift;Th S T;;;1892, 1896, 1901, 1902, 1908;XXX;"111 Notizen und Skizzen, 1 Foto (Entwurf für Fassade S. Lorenzo), 1 Prospekt (Thesaurus), 4 Zeitungsausschnitte (1 Bulletin Historique; 2 Basler Nachrichten; 1 Liste <RIBA>; 1 Beilage zur Allgemeinen Zeitung 1901), 13 Briefe (1 Jagell [alleè Dupaortal. Villemomble. Seine] & E. Weharem (?) [3. rue Lavribe. Varit] 1897; 1 Ferri 1908; 1 G. Lupo <Archivio di Mantua> 1908; 2 W. H. White <RIBA> 1892, 1 Graziani 1901; 1 Enrico Gej <Accademia di S. Luca> 1902; 1 Madame Le Maistre (?); 1 N. Weiss 1896; 2 <L'ecole central Paris>; 2 Briefentwürfe Geymüller > Academia di S. Luca), 1 Prospekt (Thesaurus), 15 div. Unterlagen zur Ass. Ecolé Central (2 Mitgliedskarten; 4 Rundschreiben; 2 Bulletin; 3 Beitragsvorschreiben; 2 Mitgliederlisten; 2 Versammlungsberichte), 1 Ausschreibung (Architekturwettbewerb), 3 Prospekte (Lexikon): (in mehreren Umschlägen; Palazzo Strozzi)";;;149;;> 8341 (...) (3x Briefe) (3x Briefe) (2x Brief) (2x Brief) - 8361;;;
V.1.4;Sammlung lose Blätter;o . Aufschrift (Toscana);;;Montepulciano, Monte Sansovino;1882, 1889, 1890;;"190 Notizen und Skizzen (Antonio da Sangallo il Vecchio; 1 Notiz von Stegmann; Montepulciano; Monte San Savino; Arezzo Santissima Annunziata u.a.), 2 Foto (Colle Basso), 1 Zeitungsausschnitt (Arte e Storia 1882), 3 Briefe (1 G.F. Gamurrini 1904; 1 Stegmann 1889; 1 Karte Tarugi [Montepulciano. Palazzo Tarugi] 1889): (in 11 Umschläge; nach Orten)";;;195;;> 8364 (4x Skizzen und Karte) (6x Skizzen) (1x Umschlag ehem.Buchrechnung) (3x Skizzen) (1x Notiz) (5x Fotos und Skizzen) (6x Skizzen) - 8390;;;
V.1.5;Sammlung lose Blätter;o . Aufschrift (Toscana);T;;;1891, 1893, 1894, 1906;;"73 Notizen und Skizzen (Inhaltsverzeichnis von Stegmann; u.a. Fragment der 1. Lieferung; ""z.T. von Nathalie Heimbürger [""Ziehtante""] abgeschrieben""), 2 Zeitungsausschnitte (Beilage Allgmeine Zeitung 1906; Chrobnique des Arts), 1 Visitenkarte (Hugo Bruckmann), 10 Briefe (5 Stegmann 1894; 5 Bruckmann 1891 3x 1893 1894) [Bruch mit Stegmann]: (in 2 Umschläge)";;;87;9 Briefe fehlen!;> 8391 (3x Schrift Heimbürger) (4x Visitenkarte und Brief) - 8397;;;
V.1.6;Sammlung lose Blätter;o . Aufschrift;B S;;;1879;;39 Notizen (handschriftliche Exzerpte), 1 Zeitungsausschnitt, 3 Prospekte (mehrere Textschnippsel): (in 2 Umschläge);;;45;;;;;
V.1.7;Sammlung lose Blätter;"Bramante; Biographie und Allgemeines";B;;;1874, 1876, 1877, 1897;;"127 Notizen und Skizzen (u.a. Zeitdiagramme), 2 Zeichnungen (auf Transparentpapier), 4 Briefe (1 Masso? <franz. Außenministerium> 1878; 1 Chechino 1879; 1 Henry Delaborde 1876; 1 Müntz 1879), 1 Prospekt: (in 6 Umschläge)";;;134;;> 8398 (2x Zeichnung) (3x Brief) (4x Skizzen) - 8407;;;
V.1.8;Sammlung lose Blätter;III Bauwerke (Bramante);B;;;1876, 1882, 1883, 1885;XXX;"161 Notizen und Skizzen, 5 Zeichnungen (4 Transparentpapier; z.B. Dom von Milano - Grundriss; Dom von Pavia - Grundriß; Abbiategrasso - Fassade), 1 Foto, 1 Zeitungsausschnitt (Arte e Storia 1883), 1 Zeitungsausschnitt (La Preserveranza 1885), 4 Briefe (1 Michele Caffi 1882; 1 ? <Bürgermeister von Piacenza> 1876; 1 Giuseppe Vandoni 1874; 1 Fasso ? 1882): (in 4 Umschläge)";;;172;;> 8408 (2x Zeichnungen) (4x Brief) (3x Zeichnung) (2x Skizze) (1x Zeichnung) (2x Brief) (2x Zeichnung) - 8433;;;
V.1.9;Sammlung lose Blätter;"Manuscript; Modelle e Planche (Leonardo)";L;;;1876;XXX;153 Notizen, 34 Zeichnungen (Transparentpapier): (in 9 Umschläge mit Einzelblätter);;;187;;"> 8434 (6x Zeichnungen) - 8439; 8444 (11x Zeichnungen) - 8455";;;
V.1.10;Sammlung lose Blätter;"o. Aufschrift (Leo X.; Toscana)";SP T Rf S;;;1883, 1897, 1898, 1899;XXX;"86 Notizen (u.a. Notizen aus Italien 1898; Stil und Charakter des Baroco), 1 Foto (von einem Blatt aus der Sammlung Geymüller [verkauft 1907]), 3 Zeitungsausschnitte (1 Il Marzocco 1904; 1 Builder 1907; 1 Chronique des Arts 1900), 40 Zeitungsausschnitte (Arte e Storia 1883-1905), 1 Brief (Castellucci 1908): (in 18 Umschläge mit Einzelblätter)";;;167;;> 8440 - 8443;;;
V.1.11;Sammlung lose Blätter;o . Aufschrift (Toscana);T;;;1897, 1898, 1904, 1908;;"11 Notizen, 1 Foto (Sangallo; S. Maria di Loreto in Rom [Uffizzien Zeichnung Nr. 399; beschr. von Ferri]), 38 Zeitungsausschnitte (19 Blätter Arte e Storia; 1 Blatt La Nazione; 11 Blätter Beilage Allgemeine Zeitung; 7 Blätter + 1 Abbildung The Builder 1908), 2 Prospekte, 2 Rechnungen";;;55;;> 8456 (1x Foto) (2x Skizzen) - 8458;;;
V.1.12;Sammlung lose Blätter;Bramante. Werke im übrigen Italien;B;;Carpi, Todi;1875, 1877, 1878, 1881;;"34 Notizen (Carpi; Todi), 4 Zeichnungen, 1 Foto (Carpi ?), 13 Zeitungsausschnitte (Zeitschrift für bildende Kunst 1878; 2x Beilage zur Allgemeinen Zeitung 1877 [Carpi von Hans Semper]), 9 Briefe (1 Baratelli 1881; 1 Caffi 1881 [+Visitenkarte]; 2 + 1 Karte [Todi] Paul Laspeyres 1881; 1 Lorenzo Leony 1879, 2 Briefentwürfe Geymüller>Laspeyres 1881; 1 Agostino Cappelli 1875): (in 14 Umschläge)";;;61;;> 8459 (1x Foto) (9x Briefe) (2x Brief Leony) (2x Skizzen) (2x Brief Faenza) (3x Skizzen) - 8477;;;
V.1.13;Sammlung lose Blätter;o . Aufschrift;B S;;;1898;;50 Notizen und Skizzen;;;50;;;;;
V.2.1;Sammlung lose Blätter;o . Aufschrift;SP HK S DPF;;;1896, 1899, 1900, 1905;;"21 Fotos (Spese 1514; St. Peter), 17 Broschüren (4 Arte e Storia; 6 [?]; 1 Metrop. Museum New York 1905; 2 Bulletin Association Amicale 1896; 1 Accademia di S. Luca 1899; 2 Hohkönigsburg [1 Piper; 1 Ebhardt]; 1 Bulletin L'AFAS (?)), 10 Briefe (6 Glenn Brown <Association American Achitects> 2x 1899 1x 1900 1x 1905 1x 1906 1x 1909; 1 Eduard Vischer 1900; 1 ?), 2 Postkarten Hohkönigsburg, 1 Rechnung (Hotel Hohkönigsburg 1903), Notzien zu Restaurierungsfragen";;;48;;"> 8478 (2x Rechnung) (2x Fotos) (1x Brief Vischer; 2x Brief Brown) - 8484";;;
V.2.2;Sammlung lose Blätter;o . Aufschrift;HK S;;;1869, 1877, 1897, 1901;;"54 Zeichnungen + Zeitungsauschnitte 1897 (Nachrufe auf Jakob Burkhardt), 1 Kunstchronik, 1 Broschüre (Geymüller über Hohkönigsburg; erschienen in Gazette de Lausanne), 1 Gersbach (Le deplacement des Fresques), 5 Briefe (1 Semper [Regierungsbaumeister] 1905; 1 Chiaroni ? [Bürgermeister von Pesaro] 1877; 1 Alesandro d'a Mille ?; 1 Francesco Grottanelli <Pubblica Biblioteca comunale di Siena> 1869; 1 Karte Chr. Fr. Müller'sche Hofbuchhandlung [Karlsruhe] 1901)";;;62;;"> 8485 (4x Breife; Karte) - 8488";;;
V.2.3;Sammlung lose Blätter;o . Aufschrift;HK S;;;1903;;"1 Foto, 38 Ansichtskarten (27 Hohkönigsburg; 11 [Canton de Vaud] Chillon und Yverdon), 7 Postkarten (Marenaud ? 1902): (in 2 Umschlägen)";;;46;;> 8489 (Postkarten) - 8515;;;
V.2.4;Sammlung lose Blätter;o . Aufschrift;DC;;;1886;;95 Notizen und Skizzen, 1 Zeichnung, 1 Druckbogen (DuCerceau), 1 Brief (Emanuel La Roche 1886): (in 8 Umschläge mit Einzelblätter);;;98;;> 8516 (7x Brief und Skizzen) - 8522;;;
V.2.5;Sammlung lose Blätter;o . Aufschrift;SP T Raf;;;1899, 1900, 1905;;"132 Notizen (u.a. Exzerpte aus Fabrica), 1 Manuskript (54 Blätter maschinell; Raffael; Toscana), 1 Broschüre (Ausstellung Denkmalpflege Elsas 1905), 1 Zeitungsausschnitt, 8 Briefe (3 + 1 Karte Angelica Raspini 1899; 1 Baldwin Brown 1899; 1 G. Stehelin 1900; 1 tuo Artefi ? 1899; 1 Briefentwurf Geymüller>Principe Corsini 1898): (in 13 Umschläge mit Einzelblätter)";;;194;;> 8523 (Karte und Briefe) - 8543;;;
V.2.6;Sammlung lose Blätter;o . Aufschrift;SP T (?);;;;;69 Notizen und Skizzen (Vatikan), 4 Zeitungsausschnitte: (in 4 Umschläge);;;73;;;;;
V.2.7;Sammlung lose Blätter;o . Aufschrift;SP T S (?);;;1877, 1907;XXX;"141 Notizen und Skizzen (Fra Giocondo usw.), 2 Fotos (Zeichnungen S. Andrea; Mantua), 3 Briefe (1 Durm; 2 Albano Sorbelli [Bibliothek Bologna] 1877), 1 Broschüre (Veranstaltungs-Programm Vignola-Gedenkjahr 1907), 1 Andruck (Toscanawerk), 1 Visitenkarte (Albano Sorbelli [Bibliothek Bologna]): (in 5 Umschläge)";;;147;;> 8544 (7x Zeichnungen Foto Skizzen) (6x Andruck Brief) - 8556;;;
V.2.8;Sammlung lose Blätter;Antonio da Sangallo il Vecchio;SP (?) T;;;;;"61 Notizen und Skizzen (handschriftliche Manuskripte; Toscanawerk): (in 8 Umschlägen mit Einzelblätter)";;;61;;;;;
V.2.9;Sammlung lose Blätter;Antonio da Sangallo il Vecchio;T;;;;;"209 Notizen und Skizzen, 1 Manuskript (184 Blätter handschriftlich und maschinell; Toscanawerk): (in 6 Umschläge)";;;393;;;;;
V.2.10;Sammlung lose Blätter;o. Aufschrift (Peruzzi u.a.);T;;;1901, 1902;;105 Notizen und Skizzen, 2 Zeitungsausschnitte (The Builder 1901 9102): (in 3 Umschläge);;;107;;;;;
V.2.11.a;Sammlung lose Blätter;o. Aufschrift (MS Toscanawerk);T;;;;;115 Notizen, 22 Druckfahnen (Toscanawerk): (in 10 Umschläge);;;137;;;;;
V.2.11.b;Sammlung lose Blätter;o. Aufschrift (MS Toscanawerk);T;;;;;255 Notizen (zu Albert: Toscanawerk in Bd. 3): (in 3 Umschläge);;;255;;;;;
V.2.11.c;Sammlung lose Blätter;o. Aufschrift (MS Toscanawerk);T;;;1905;;106 Notizen, 1 Manuskript (100 Blätter maschinell: Toscanawerk Bd. 10), 3 Briefe (1 + 2 Karten Castellucci 1905): (in 6 Umschläge);;;209;;> 8557 (5x Brief Karte) - 8561;;;
V.2.12;Sammlung lose Blätter;o. Aufschrift (Hohkönigsburg);HK;;;1895, 1903, 1907, 1908;X;"84 Notizen und Skizzen, 3 Fotos (Hotel Hohkönigsburg; Kaiser mit Ebhardt; Hohkönigsburg als Ruine), 2 Zeitungsausschnitte (1 Chronique 1895; 1 Beilage zur neuen prußischen Zeitung 1907), 1 Broschüren (Hohkönigsburg), 5 Briefe (1 Ernst Wasmuth 1903; 1 ?per 1903; 3 Karten ?), 1 Eintrittschein (Kaiserverein 1904), 1 Einladung, 2 Prospekte, 3 Rechnungen (Hotel Hohkönigsburg): (in 5 Umschläge)";;;104;;> 8562 (10x Skizzen) (2x Brief) (3x Skizzen) - 8576;;;
V.2.13;Sammlung lose Blätter;Michaelangelo;Mich;;;;;351 Notizen und Skizzen (handschriftliche Manuskripte): (in 7 Umschläge);;;351;;> 8577 (2x Skizzen) 8578;;;
V.2.14;Sammlung lose Blätter;Michaelangelo;Mich;;;;XXX;380 Notizen (Manuskripte): (in 8 Umschläge);;UNPUBLIZIERT!;380;;;;;
V.2.15;Sammlung lose Blätter;Michaelangelo;Mich;;;;XXX;465 Notizen (Manuskripte): (in 11 Umschläge);;UNPUBLIZIERT!;465;;;;;
V.2.16;Sammlung lose Blätter;o . Aufschrift;T;;;1886, 1890;;"102 Notizen und Skizzen, 3 Briefe (1 Karte Merino Ferri 1890; 1 Karte Gustavo Frizzoni 1886; 1 Gentile Pagani [Comune di Milano. Archivo Storico] > Luca Beltrami 1886)";;;105;;> 8579 (5x Briefe) - 8584;;;
V.3.1;Sammlung lose Blätter;o. Aufschrift (Florenz. Dom);T;;;1887, 1888;;"127 Notizen und Skizzen (1 Skizze auf Transparentpapier; Domkupel Florenz; Gespräche mit Augst Choisy): (in 10 Umschläge)";;"August Choisy [franz. Architekturhistoriker in technischen Fragen; Die Kunst zu Bauen bei den Römern; bzw. ... bei den Byzantinern - Besondernheit: Bauten in Isometrien dargestellt!]";127;;> 8585 (3x Skizzen) (3x Skizzen)- 8590;;;
V.3.2;Sammlung lose Blätter;o. Aufschrift (Paul II. Alexander VI.);SP;;;;;"411 Notizen (Abschriften zu St. Peter aus dem Vatikanarchiv; Paul III.; 6 Blätter aus Musée d'Orsay; Alexander VI.): (in 18 Umschläge)";;;411;;;;;
V.3.3;Sammlung lose Blätter;Conclave Pläne [beschriftet Egger];SP;;;;;"203 Notizen und Skizzen (in Schrift Eggers; einzelne Blätter - Abschriften - in Schrift Geymüllers): (in 18 Umschläge; in der Schrift Eggers)";;;203;;;;;
V.3.4;Sammlung lose Blätter;Donatello 1386-1466;T;;;;;113 Notizen und Skizzen (u.a. Studie von San Antonio von Padova): (in 6 Umschläge mit Einzelblätter);;;113;;> 8591 (2x Skizzen) - 8592;;;
V.3.5;Sammlung lose Blätter;Toscana (Baccio d'Agnolo);T;;;1898;;"170 Notizen und Skizzen (Bacio d'Agnolo; Turm von S. Miniato), 3 Fotos: (in 8 Umschläge)";;;173;;> 8593 (3x Skizzen) (3x Skizzen) (1x Skizze) (2x Fotos) (1x Skizze) (2x Skizze) (...) - 8621;;;
V.3.6;Sammlung lose Blätter;Table de Gaye;S;;;;;"190 Notizen (Abschriften aus Gaye; Namensregister [fremde Schrift]): (in 2 Umschläge)";;;190;;;;;
V.3.7;Sammlung lose Blätter;o. Aufschrift (Toscana);T;;;1865, 1893, 1898, 1899, 1900;XXX;"150 Notizen und Skizzen (z.T. von Stegmann; Skizze San Giorgio in Ferrara 1865; Skizze Villa Farnesina Peruzzi), 13 Briefe (2 Artur Weese 1893; 1 Josef Schönbrunner [Albertina] 1898, 8 Egger 1899 1900 4x 1901 2x 1902; 2 Karten Egger 1902), 5 Fotos (Siena; Peruzzi-Codex [zu einem Artikel von Egger]): (in 6 Umschläge; Rossellino; Peruzzi, Francesco di Giorgio)";;;163;;> 8621 (2x Skizze) (1x Skizze) (1x Skizze) (6x Briefe Karte) (5x Fotos) (1x Skizze) (4x Briefe) (3x Skizzen) - 8644;;;
V.3.8;Sammlung lose Blätter;o. Aufschrift (Bramante);B S;;;1892, 1902;XXX;"66 Notizen und Skizzen, 22 Fotos (4 aus Traktat von Filarete; 3 Kirchengrundrisse; 14 Negative [aus der Sammlung Destailleur 1892]), 22 Zeitungsausschnitte, 1 Karte (G. Rapilly [Buchhändler] 1902), 3 Prospekte";;;94;;> 8645 (2x Karte) (1x Foto) (1x Skizze) - 8648;;;
V.3.9;Sammlung lose Blätter;England 1906;S;;;1872, 1874, 1906;;"25 Notizen und Skizzen (u.a. London 1872; London 1874), 7 Briefe (1 Donaldson 1872; 1 William Chicheley Plowden > Donaldson 1872; 2 J. N. Maynard [Marquis d'Azeglio] 1872; 3 Julia Whichbamm? 2x 1872 1874), 6 Empfehlungsschreiben (Müntz usw.), 4 Visitenkarten (Eugen Müntz [beschriftet]; Charles Wm. Eichbauer [Assistant Controller]; Professor Donaldson; William Chicheley Plowden), 1 Rechnung (B&B Horrexe's Privat Hotel 1874)";;;37;;> 8649 (5x Skizzen Visitenkarte) (11x Briefe) (7x Briefe Visitenkarten) (....Briefe) - 8684;;;
V.3.10;Sammlung lose Blätter;o . Aufschrift;B T L S;;;1885, 1887;;"79 Notizen und Skizzen (u.a. Fiesole; Santa Maria del Fiore), 4 Zeitungsausschnitte (1885 u.a.), 2 Briefe (1 Jean Paul Richter 1885; 1 Karte Gustavo Frizzoni 1887), 2 Prospekte: (in 15 Umschläge)";;;87;;> 8685 (2x Brief) (1x Brief) (3x Skizzen) (1x Skizze Fiesole) (7x Skzzen Kuppel) - 8698;;;
V.3.11;Sammlung lose Blätter;Michelozzo. Profanbauten;T;;;;;"154 Notizen und Skizzen (u.a. Abschrift Stegmann), 1 Zeichnung (Transparentpapier), 1 Briefabschrift (Pietro Torrigiani 1888 [Schrift Geymüller]), 16 Abbildungen (auf Transparentpapier; Andrucke Toscanawerk): (in 7 Umschläge; Palazzo Vecchio; Palazzo Tornabuoni; Palazzo Medici u.a.)";;entnommen: Skizze - Querschnitt des Palazzo Medici;171;;> 8699 (2x Zeichnung) (6x Skizzen) (4x Skizzen) (...) - 8725;;;
V.3.12;Sammlung lose Blätter;o . Aufschrift;Rac;;;;XXX;"50 Fotos (17 Negative; 31 Wachsnegative) [Geymüller-Codex Campello Sangallo; oder Codex Strozzi?]";;;50;;> 8726 (5x Skizzen) (16x Fotos) - 8746 ;;;
V.3.13;Sammlung lose Blätter;o . Aufschrift;S;;London;1893, 1898, 1902, 1903;;"62 Notizen und Skizzen, 6 Fotos (Trient), 6 Ansichtskarten (San Marino), 15 Zeitungsausschnitte, 19 Briefe (2 ital. Außenministerium [Gorini]; 2 Hoepli 1898; 1 Frizzoni 1898; 5 Ebel <Regierungsbaumeister> 3x 1903; 1x Karte Giacomo Gorrini <Direnzione del Archivo Storico di Firenze> [Corrini] 1904; 1 Camillo Boito [Kunsthistoriker] 1898; 1 Arelio Crotta 1898 [Genova]; 1 Giulio Carotti 1898; 1 <Ispettore per la Conservazione dei Monumenti del Circolo di Turino> Bray...? [Turin] 1898; 1 Telegrammentwurf [Geymüller]), 1 Postbestätigung, 4 Menükarten (Club Oriental 1893; Limmer's 1893; RIBA Councel Dinners Club 1893), 1 Tessera (Congress Rom 1902), 1 Preisliste (Wein; Pietro Rossi), 4 Empfehlungskarten, 2 Visitenkarten (Eugenio Torelli-Viollier; Geymüller), 1 Prospekt, 2 Karten ([Ravenna] 1902; Carl Schmitz? 1904): (in 17 Umschläge; nach Orten: London 1893; [Denkmalplege-] Kongress Rom 1903; Milano I; II; III; Verona; Urbino; Mexiko u.a.)";;;120;;> 8747 (5x Skizzen) (3x Fotos) (2x Brief Ebel) (... Fotos Karte Skizzen) (1x Brief) (3x Skizzen) (...) - 8787;;;
V.3.14;Sammlung lose Blätter;Venezia;S;;;1899, 1902, 1903, 1908;;"15 Notizen und Skizzen, 6 Karten (Crollo Campanile Venedig; u.a. 1 Marie > Krahnstöber 1902), 16 Zeitungsausschnitte (u.a. Journbal des debats 1908; Beilage zur allgemeinen Zeitung; Arte e Storia 1902; The Builder 1903; La Capitale; Chronique 1899), 3 Briefe (1 Jacob Benetti 1902; 1 Accademie Venedig), 1 Prospekt";;;40;;> 8788 (1x Skizze) (...) - 8797;;;
V.3.15;Sammlung lose Blätter;Künstler. Toscana;T;;;1889, 1890, 1891, 1904;;"172 Notizen und Skizzen, 1 Abbildung, 4 Zeitungsausschnitte (Chronique 1890 1904; Arte e Storia 1891 1904), 1 Brief (Giuseppe Palmieri Nuti [Bürgermeister von Siena 1878-79] 1889): (in 10 Umschläge; Pontormo; della Robbia, Michelozzo; Verrocchio)";;;178;;> 8798 (... Brief) (4x Brief) (2x Brief) - ?;;;
V.3.16;Sammlung lose Blätter;o . Aufschrift;Mich Rac S;;;1877, 1878, 1884, 1885;XXX;"40 Notizen und Skizzen, 5 Zeitungsausschitte [Rez. Geymüller; Agrippa] (The Builder 1884; Ch. Hülsen 1885); 101 Briefe (1 Felix Becker [Thieme] 1901; 16 [auch Karten] unleserlich; 3 Riccardo Mazzanti <Accademia delle Arti del Disegno Firenze> 1901; 1 [Alphonse?] Simil 1878; 1 Karl Eduard von Liphart 1883; 1 Edmond de Bussieri [Paris] k.A.; 1 Natalie [Heimbürger] 1883; 1 Robert Krause 1883; 2 G. Gruyer 1883; 1 Inst. de France 1904; 2 M. Fouquet (?); 1 Elma Petitz [Cousine] 1883; 1 Cranzt? 1883; 1 Émile Delecroix 1883; 1 P. T. Bonoral...? 1883; 2 Gustavo Frizzoni 1883 1907; 1 Alesandro Betocchi 1883; 1 A. Berulli 1883; 1 Guis Sprungnolim 1877; 4 schweiz. Botschaft [Pioda]; 22 Bernardino/Rosa Campello 1877/78; 8 Raffaelo Ambrosi [Advocato Rom] 1877; Pasquale Nerino Ferri <RR. Gallerie di Firenze> 1907; 2 Baudry 1878; 1 Volpi-Cari; 2 Imley; 9 Ferri 1907; 7 Sitney Colvin <British Museum> 1893 1895 3x 1896 1898 1900; 1 W. Ruchtache? 1883; 2 White <Royal Institut of British Architects> 1895; 2 ital. Konsul ?; 1 Telegramm ??; 1 Telegramm Piero Torrigiani [Bürgermeister von Florenz 1886-89] 1899; 2 Depeschen/Telegramme), 3 Briefentwürfe, 1 Ausschreibung (5x), 1 Prospekt, 1 Überweisung, 2 Bestätigungen, 1 Kaufvertrag (Raccolto Campello 14.03.1878), 5 Visitenakarten (Alessandro Betocchi; Antonine Heron de Villefosse; Michele Caffi; G. Mongeri; Ed. de Pressence; Eugéne Bersier): (in 17 Umschläge; Concorso di Firenze; Universallexikon [Becker]; Thode; Thermes d'Agrippa; Raffaello; Michaelangelo; Campello; u.a.)";;"entnommen: Telegramm Ambrosi > Geymüller (Advocat; bei Ankauf von Sammlung Geymüller vertreten)";159;;> ? - 8837 (? Briefe) - 8929;;;
V.3.17;Sammlung lose Blätter;"o. Aufschrift; Skizzenbuch 1879";Rac HK;;;;;"60 Notizen und Skizzen (Domkupepel; Francesco di Giorgio), 2 Zeichnungen (Transparentpapier), 2 Fotos (Raccolto Geymüller-Campello-Codex), 5 Zeitungsausschnitte (Dom Florenz), 1 Prospekt (Hohkönigsburg Ebhardt 1908): (in 3 Umschläge)";;;69;;> 8930 (4x Zeichnungen) - 8933;;;
V.4.1;Skizzenbuch, Sammlung lose Blätter;II 1866 I Skizzenbuch;SP T S;;;1866;XXX;"1 Skizzenbuch (86 Blätter mit Notizen und Skizzen; Toscana; Uffizien; St. Peter), 1 Bibliotheksschein (Florenz)";;ENTNOMMEN!!! (für Ausstellung);2;;;;;
V.4.2;Skizzenbuch;o . Aufschrift;S;;;;XXX;"1 Skizzenbuch (50 Notizen und Skizzen; davon 16 Einzelblätter)";;Beschäftigung: mit Proportionen notwendig!;17;;;;;
V.4.3;Sammlung lose Blätter;o. Aufschirft (Michaelangelo);Mich;;;1887, 1902, 1908;;"175 Notizen und Skizzen, 3 Zeitungsausschnitte, 4 Briefe (1 Paul Kurr 1887; 1 Giovanni Castellucci 1902, 2 Henri Stevenson 1887): (in 16 Umschläge)";;;182;;> 8934 (8x Skizzen) (5x Briefe) (2x Skizzen) (... Briefe);;;
V.4.4;Hefte;o . Aufschrift (R.F);Rf;;;1900;;"4 Hefte (220 Seiten; Abschriften zu Renaissance Frankreich [Juliette; Tochter] 1900)";;;4;;> ... (Hefte) - 8957;;;
